
0.088,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.232,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.045,0.038,4.695,5.386,5.386,5.386
0.333,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.032,0.045,0.054,-0.035,0.139,0.345,0.994
0.434,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.029,0.043,0.044,-0.015,-0.025,-0.072,-0.033
0.534,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.034,0.045,0.039,-0.013,-0.025,-0.064,-0.023
0.634,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.036,0.044,0.034,-0.011,-0.031,-0.071,-0.033
0.734,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.032,0.047,0.111,0.008,-0.006,-0.051,-0.008
0.835,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.037,0.046,0.032,-0.248,-0.502,-0.672,-0.785
0.935,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.042,0.038,-0.334,-0.632,-0.803,-0.879
1.034,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.036,0.052,0.043,-0.346,-0.663,-0.845,-0.941
1.135,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.035,0.042,0.032,-0.417,-0.745,-0.923,-1.016
1.235,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.039,0.047,0.037,-0.420,-0.773,-0.970,-1.065
1.334,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.035,0.047,0.041,-0.463,-0.821,-1.038,-1.133
1.435,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.038,0.046,0.041,-0.480,-0.880,-1.069,-1.176
1.535,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.036,0.041,0.031,-0.517,-0.882,-1.096,-1.176
1.635,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.034,0.040,0.039,-0.514,-0.926,-1.122,-1.220
1.735,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.033,0.049,0.036,-0.549,-0.935,-1.144,-1.225
1.836,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.038,0.067,0.036,-0.873,-1.625,-2.072,-2.378
1.936,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.046,0.034,-0.864,-1.624,-2.078,-2.387
2.035,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.035,0.042,0.038,-0.880,-1.682,-2.115,-2.434
2.136,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.037,0.059,0.037,-0.882,-1.681,-2.123,-2.438
2.236,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.030,0.039,0.035,-0.894,-1.686,-2.130,-2.438
2.336,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.033,0.042,0.034,-0.909,-1.691,-2.143,-2.456
2.435,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.041,0.036,-0.898,-1.707,-2.156,-2.479
2.536,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.032,0.043,0.035,-0.930,-1.732,-2.198,-2.512
2.636,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.043,0.042,0.035,-0.926,-1.749,-2.202,-2.538
2.736,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.034,0.039,0.037,-0.926,-1.766,-2.213,-2.558
2.836,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.044,0.039,-0.921,-1.757,-2.219,-2.556
2.937,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.040,0.042,0.037,-0.816,-1.675,-2.247,-2.735
3.037,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.035,0.042,0.034,-0.817,-1.668,-2.234,-2.723
3.137,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.044,0.037,-0.811,-1.637,-2.216,-2.695
3.237,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.033,0.044,0.038,-0.800,-1.634,-2.199,-2.686
3.338,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.036,0.042,0.040,-0.174,-0.588,-0.949,-1.375
3.438,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.031,0.044,0.034,-0.168,-0.552,-0.946,-1.367
3.537,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.047,0.044,0.032,-0.176,-0.585,-0.953,-1.404
3.638,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.026,0.045,0.037,-0.151,-0.537,-0.927,-1.358
3.739,0.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,5.386,0.034,0.043,0.040,0.018,-0.085,-0.260,-0.509
